district_id,incumbent_2025,incumbent_party,pvi_string,pvi_numeric,is_open_seat,retirement_reason,war,generic_ballot,predicted_margin,predicted_winner,d_win_pct,r_win_pct,race_rating,potential_flip,sim_avg_margin,sim_margin_std
MN-06,Tom Emmer,R,R+10,-10.0,False,,-0.1,6.6,-9.27,R,3.9,96.1,Likely R,False,-9.2,5.22
DE-AL,Sarah McBride,D,D+8,8.0,False,,-0.1,6.6,9.3,D,95.8,4.2,Likely D,False,9.25,5.29
CT-03,Rosa DeLauro,D,D+8,8.0,False,,-0.1,6.6,9.3,D,95.5,4.5,Likely D,False,9.29,5.24
NJ-01,Donald Norcross,D,D+10,10.0,False,,3.9,6.6,9.31,D,95.1,4.9,Likely D,False,9.61,5.45
WA-06,Emily Randall,D,D+10,10.0,False,,3.9,6.6,9.31,D,95.8,4.2,Likely D,False,9.58,5.46
TN-07,Mark Green,R,R+10,-10.0,True,Resigned,0.0,6.6,-9.32,R,3.3,96.7,Likely R,False,-9.25,5.36
NY-21,Elise Stefanik,R,R+10,-10.0,True,Retiring,0.0,6.6,-9.32,R,3.5,96.5,Likely R,False,-9.44,5.15
TX-38,Wesley Hunt,R,R+10,-10.0,True,Running for Senate,0.0,6.6,-9.32,R,2.6,97.4,Likely R,False,-9.5,5.21
AZ-05,Andy Biggs,R,R+10,-10.0,True,Running for Governor,0.0,6.6,-9.32,R,3.8,96.2,Likely R,False,-9.28,5.29
WA-04,Dan Newhouse,R,R+10,-10.0,True,Retiring,0.0,6.6,-9.32,R,4.6,95.4,Likely R,False,-9.45,5.49
CA-05,Tom McClintock,R,R+9,-9.0,False,,2.0,6.6,-9.32,R,4.6,95.4,Likely R,False,-9.22,5.25
PA-04,Madeleine Dean,D,D+8,8.0,False,,-0.3,6.6,9.41,D,96.6,3.4,Likely D,False,9.54,5.2
FL-05,John Rutherford,R,R+10,-10.0,False,,0.6,6.6,-9.63,R,3.7,96.3,Likely R,False,-9.82,5.21
PA-11,Lloyd Smucker,R,R+11,-11.0,False,,-1.1,6.6,-9.79,R,3.0,97.0,Likely R,False,-9.84,5.02
CA-27,George Whitesides,D,D+8,8.0,False,,-1.3,6.6,9.92,D,96.9,3.1,Likely D,False,10.0,5.21
OK-01,Kevin Hern,R,R+11,-11.0,False,,-0.5,6.6,-10.1,R,2.7,97.3,Likely R,False,-10.19,5.25
TX-05,Lance Gooden,R,R+12,-12.0,False,,-2.3,6.6,-10.21,R,1.3,98.7,Likely R,False,-10.68,5.04
CA-45,Derek Tran,D,D+7,7.0,False,,-3.9,6.6,10.22,D,97.0,3.0,Likely D,False,10.21,5.36
CA-25,Raul Ruiz,D,D+7,7.0,False,,-4.0,6.6,10.27,D,95.9,4.1,Likely D,False,9.97,5.56
MI-11,Haley Stevens,D,D+9,9.0,True,Running for Senate,0.0,6.6,10.28,D,97.6,2.4,Likely D,False,10.43,5.59
GA-10,Mike Collins,R,R+11,-11.0,True,Running for Senate,0.0,6.6,-10.36,R,3.2,96.8,Likely R,False,-10.24,5.21
SC-05,Ralph Norman,R,R+11,-11.0,True,Running for Governor,0.0,6.6,-10.36,R,3.5,96.5,Likely R,False,-10.1,5.33
IL-16,Darin LaHood,R,R+11,-11.0,False,,0.0,6.6,-10.36,R,2.3,97.7,Likely R,False,-10.36,5.37
WI-07,Tom Tiffany,R,R+11,-11.0,True,Running for Governor,0.0,6.6,-10.36,R,2.4,97.6,Likely R,False,-10.37,5.38
NC-06,Addison McDowell,R,R+11,-11.0,False,,0.0,6.6,-10.36,R,3.0,97.0,Likely R,False,-10.2,5.29
TX-21,Chip Roy,R,R+11,-11.0,True,Running for AG,0.0,6.6,-10.36,R,3.3,96.7,Likely R,False,-10.29,5.54
TX-36,Brian Babin,R,R+12,-12.0,False,,-1.8,6.6,-10.46,R,2.0,98.0,Likely R,False,-10.7,5.34
FL-08,Mike Haridopolos,R,R+11,-11.0,False,,0.2,6.6,-10.46,R,2.5,97.5,Likely R,False,-10.46,5.37
CA-07,Doris Matsui,D,D+9,9.0,False,,-0.5,6.6,10.54,D,97.2,2.8,Likely D,False,10.5,5.32
FL-17,Greg Steube,R,R+11,-11.0,False,,0.5,6.6,-10.61,R,2.6,97.4,Likely R,False,-10.68,5.22
UT-01,Blake Moore,R,D+12,12.0,False,,5.4,6.6,10.61,D,97.8,2.2,Likely D,True,10.66,5.45
NY-11,Nicole Malliotakis,R,R+10,-10.0,False,,2.6,6.6,-10.66,R,2.0,98.0,Likely R,False,-10.74,5.34
FL-28,Carlos A. Giménez,R,R+10,-10.0,False,,2.7,6.6,-10.71,R,2.8,97.2,Likely R,False,-10.41,5.57
PA-16,Mike Kelly,R,R+11,-11.0,False,,0.7,6.6,-10.72,R,2.5,97.5,Likely R,False,-10.75,5.39
WI-05,Scott Fitzgerald,R,R+11,-11.0,False,,1.0,6.6,-10.87,R,2.2,97.8,Likely R,False,-10.91,5.44
TX-31,John Carter,R,R+11,-11.0,False,,1.2,6.6,-10.97,R,1.7,98.3,Likely R,False,-11.17,5.13
GA-07,Rich McCormick,R,R+11,-11.0,False,,1.4,6.6,-11.07,R,1.4,98.6,Likely R,False,-11.2,5.4
MN-03,Kelly Morrison,D,D+11,11.0,False,,2.4,6.6,11.12,D,98.5,1.5,Likely D,False,11.13,5.49
MO-03,Bob Onder,R,R+13,-13.0,False,,-2.4,6.6,-11.19,R,1.7,98.3,Likely R,False,-10.88,5.34
TX-26,Brandon Gill,R,R+11,-11.0,False,,1.8,6.6,-11.28,R,2.3,97.7,Likely R,False,-11.18,5.36
CA-02,Jared Huffman,D,D+12,12.0,False,,4.0,6.6,11.33,D,98.4,1.6,Likely D,False,11.45,5.36
IL-10,Brad Schneider,D,D+12,12.0,False,,4.0,6.6,11.33,D,97.9,2.1,Likely D,False,11.25,5.49
